NIVEL,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
0.0,10.331584863244661,19.58340931655624,14.949135007759066,11.60187040748163,7.455662862159789,15.618633080200038,3.127587542070828,11.9739371929075,16.875429349186884,8.531746031746032,5.8981369260689425,2.672876888718991,5.475142066585344,8.62961148636994,6.610109428436023,6.196062147479152,6.193478373210687,9.553448650213506,15.156447621666208,3.4596346071069872,2.8080480663329723,9.356400480066622,17.749303440679064,3.1161600691879427,11.250134134563794,21.179517537368653,5.714169181825597,9.852147622753192,3.4613319770563136,5.389910006101282,6.360384433047451,5.086569500146728
1.0,58.646840148698885,81.6542901579374,61.254668800975686,34.85400046472001,65.78502258322337,76.44576251853542,11.621649952828541,56.73493315179365,76.83329010264201,66.91595774516219,48.51039535658214,23.334409341623275,47.858296792060926,49.885540807403984,51.11502119974266,38.087914749333976,60.159838324453425,46.19268950479142,76.29088632688195,29.000057867021585,39.10416727964614,44.47072001991412,52.628187054416564,42.09045277087664,65.0975954738331,78.11813740868551,35.451872744221625,59.178966789667896,43.525,37.98329345148878,52.55233804055168,30.022475454437917
2.0,51.94563968249726,63.82678349809325,61.86979984090469,45.50123622409584,51.777912026475256,61.400144243377916,18.595010225447993,53.703420738351916,60.232135151118,52.60377343131529,45.8019173209463,33.330022962219076,45.54792422205292,53.946000683075624,53.7441693573036,35.2802620370565,50.35388397852647,46.1407335062943,60.17233878741597,30.932309059969043,35.939276067501496,42.27693023379063,58.74227047931723,39.69479913586186,50.84590524791183,62.534987955365885,37.291465179409286,59.77987489970051,42.13915714115777,34.03413652077701,50.705068006506714,38.287236772955595
3.0,77.03552695730443,81.88127483231511,77.18644294680045,70.89056116964093,72.0709139960274,84.39247286566743,46.05110748026712,77.42152792194312,80.90928865000208,79.01729088726758,67.15283490121593,60.871779760341234,67.11467762536792,78.03571279818854,73.71413739408972,58.5846896910826,66.24966329864044,69.36314349631196,82.40992094053274,60.336906753181424,61.30754165310454,67.48142866618028,81.36080081872285,66.07200022077492,76.14482754461405,83.05132869927334,61.68726670305236,82.32250685265069,60.45780680037122,65.5896982618853,75.99050694302171,60.39591701078964
4.0,50.90909090909091,85.19802883737908,51.52335815842925,75.36879749664729,60.10726599412591,21.80094786729858,79.80295566502463,70.80213903743315,75.88100467959126,84.73476297968398,60.515914291658,30.762817840766985,83.81962864721486,46.296691568836714,71.97459861011262,69.9297629499561,84.02464065708419,72.69372693726937,75.2988047808765,57.24770642201835,56.40733450740702,72.61953412341643,100.0,86.3901490602722,66.3358147229115,80.46320508031378,100.0,71.80717863105176,58.85154802857899,51.128871128871126,100.0,59.46915351506456
5.0,81.01003764115433,92.16539978831906,81.22183274912369,79.45019052803484,81.54569911404707,89.20762286860582,76.13226219583188,77.9050761498862,78.15101589334576,73.88224541092238,61.91093257310699,69.1254703516284,81.95403232356047,76.34701254518393,85.53814235347414,77.66015136868413,71.17667597765363,76.33293838862559,82.41812825431626,69.01494731683411,61.71009329428459,79.83531564501372,88.97308781869688,71.70941023849915,76.45704213339398,85.1065515329161,70.44648318042813,77.01379172496502,64.43289042942422,75.63630982580754,83.8262523144673,64.1926598674905
6.0,89.89790842950961,91.44061781595441,92.18084599027094,90.09414854237383,87.98430359626465,93.31668707433995,73.49495633235968,91.48827687194641,91.75889654887288,93.04389610669038,88.23090036922837,80.23339326748908,88.48053703481715,89.91411405760675,89.62231646362129,78.62093569262564,84.30433875984247,86.12732543133401,95.3965894367763,82.85397938933039,81.20758949804991,91.52542372881356,94.15420850378084,86.55987951583214,89.48931105566197,94.4610719005655,78.98145750183343,92.87061642043811,79.76180597712394,80.84839420744582,91.37701164520246,86.39462166941642
7.0,95.54653488645722,92.30355999090891,88.94352159468438,85.48583818945657,87.36751822581633,94.34410243364708,84.00855920114122,88.15045709367513,88.47177889437003,94.89087030249986,86.09789513015319,95.10873959091276,89.93650382272904,94.73874638187444,89.71776451105309,80.64694417779329,79.98469286984002,93.86118118895142,95.41293920939258,76.58391797085807,84.53346177517327,92.4181231970134,94.9707920119549,93.89926839591269,94.30943983114395,94.21751489427982,92.49265585899249,83.9203526960903,83.01589930440544,81.28353248397563,92.89274845209361,89.6355437273601
8.0,96.7272674707155,97.08835984745151,96.84979630881892,96.89452065986794,94.4132576515303,96.83744960663823,93.19772576007378,97.21371231748522,96.13439900607206,97.29128425331061,95.59385405914432,94.50210138090745,95.53912285448041,95.68002221463891,96.98710897971755,91.37129896401643,95.60076858153609,95.52998558648413,97.93063298840387,94.25665236051502,94.4776895723309,97.42238673521886,98.82942243128242,96.68458664382936,94.77259825568966,98.49902331483912,91.8009549855125,96.52914394455337,92.80175756009305,94.30854947250938,97.59042091131643,92.98631091530301
9.0,100.0,100.0,100.0,100.0,87.75595486836606,88.44086021505376,100.0,100.0,100.0,100.0,93.30019120458891,100.0,89.62741490340386,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.181707810603,93.98803046789989,89.11086100168824,86.73321526324263,100.0,100.0,100.0,100.0,63.5,100.0,93.40219926691103,100.0
10.0,98.9062040576301,100.0,100.0,100.0,100.0,100.0,100.0,98.60606770528288,99.41304215461427,100.0,98.2104147598632,90.05738880918221,100.0,96.20158227082476,98.13558444248795,100.0,100.0,95.15036162923487,98.18613298668319,94.62839278101464,91.57156880790232,100.0,98.17126871470755,96.80886940392884,100.0,100.0,100.0,97.90821601845224,97.85977859778598,95.67268252666119,100.0,100.0
