DOMINIO,ESTRATO,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
R,1,0.0,37.83819898019178,45.267230955259976,42.097967454134206,29.262008908864722,60.258666197430934,18.787733837350693,31.725011132748893,0.0,36.184700692221206,44.23963483225215,32.00818798972096,41.03146024827063,34.23323953614557,31.910233239655362,19.57792353736571,51.05881018544774,27.143581938102486,46.926703407111475,36.03906758324139,36.06344506989216,39.93969628284118,42.39691098038987,31.771441713521398,46.42542308004593,42.734730479258694,41.14081878228482,53.66452236641505,35.69213230733122,30.69484467168318,44.765622536119395,32.31457111701825
R,2,59.61138255519363,56.95795785862462,68.5588262391745,0.0,41.645271715875054,64.81211508137217,39.49744994543551,55.55657470538077,73.75760929717764,57.11916289239419,42.88434629310481,0.0,59.23620768306755,53.35237947665072,58.598034627983154,45.36546826858461,55.00365351401621,50.667640527731955,82.92137339920023,56.43829085635963,46.410126866509486,59.746362678641084,56.902848794740684,56.86675942896022,50.363399095580306,61.831422668802965,47.255329068147276,60.998010228412625,52.76879863701248,47.87335697449727,67.33448555606505,43.71550044027719
U,1,0.0,62.96296296296296,64.19573643410853,49.47584576492006,26.666666666666668,0.0,29.924301946908408,63.1578947368421,68.0,89.10112030888935,64.10031567870922,50.366855808488324,91.66666666666667,58.8235294117647,54.81151475575108,28.400398457630793,48.3728066633596,0.0,29.55611447216369,31.370942614288797,32.18401350114803,35.82286432160804,69.1000592382284,20.062830830141586,75.0,52.768933518382454,44.507498649827596,70.5703167130635,41.398197964607505,33.19004365518724,49.518069127558775,0.0
U,2,61.57803100552737,70.68165648356646,70.31124807395994,70.05309971304933,62.738416929391974,70.57916577412236,56.8042986097842,67.62534899953467,73.50388346467916,69.4247814561469,55.86188038049437,61.74617660417082,67.43223561656839,63.84954790535934,70.87166285481742,54.26310404980024,62.7262044031783,63.985023680220166,70.14567628255024,60.3454622180706,56.026256949169735,67.52311419779714,74.64662058608448,65.64040238050406,68.3462313934173,71.9995382066363,63.61614273848316,71.98029725171784,56.494328258433946,60.46688537603051,67.32547290760337,53.27660155627599
U,3,71.70869826351534,79.61838147961575,79.45883727521445,82.1933272581369,70.9671184879053,81.44835702000543,76.20133696601282,74.90653159107805,80.58954202100591,79.35498343551066,70.46210942176464,75.39345765149561,78.61341681067452,72.15350166908935,77.80612403776688,69.99666983517301,74.80688522595949,79.05611553343027,77.74378622409446,80.01530807500957,75.39430307470212,78.83517643195295,82.97705813108924,78.05550706929657,77.09123288371578,81.47749935521395,74.9687346873103,78.90895669589104,68.3817886751626,78.05320911535432,80.86309095847513,74.0423606147569
U,4,88.13589923981596,83.12307176391684,84.39026894739995,82.59907639900968,84.71829420409776,85.13226956220956,88.02291780764207,85.65714686688654,87.3284878617823,86.98761819148169,83.74130821005951,100.0,85.5452653572228,86.58100628038179,87.1175356961716,82.30051418777376,85.1341765375092,89.23698305382386,87.77331504261588,82.17848622858382,84.46352068546582,86.26352547099371,92.36581397527962,89.56373142789558,82.42536003295521,89.6441914761779,86.24788721930199,80.86007548716547,76.6938971648246,85.14648167984994,86.86915283466264,85.59674159493593
