,Grupo,ESTRATO,tel_fija,cel,compu,hog_internet,usr_internet,alambrica,inalambrica,alfabetas_proxy,bachillerato,universidad,FAC_HOG
0,11,1,0.10100075320275814,0.8121137795731583,0.1588941420124358,0.25301699867384203,0.39771847520729875,0.19240686864793877,0.09017960184909057,0.8659644284651191,0.20775021835263674,0.05378745335970372,6984839
1,20,2,0.3434764938551451,0.931092156720237,0.39807007735845334,0.5879138380640965,0.6935838891303455,0.541351846677006,0.1934544154762931,0.9467860008224244,0.3939456916376855,0.15802596770203248,17295201
2,21,2,0.9685892827517558,0.9542756548507807,0.7362624195837711,0.9966450994488377,0.820957789931286,0.9536396984276208,0.2591937178565504,0.9605497194262523,0.5498337069432846,0.2717399912881638,108498
3,22,2,0.03079989537956474,0.9741154612769104,0.5620823074217376,1.0,0.7513423339540658,0.9718065964988231,0.20963770664790715,0.9643834617856977,0.4419545523827196,0.21880321803981442,110877
4,23,2,0.20350824068867068,0.9061405026603798,0.41379720551974736,0.5168815157676169,0.6473530393834143,0.4603538521434442,0.10049963230522992,0.9251467361247391,0.4479421262019874,0.22884900684084727,92468
5,30,3,0.8269962527308766,0.9675116107469942,0.7033653081007567,0.9072225357003342,0.8216671239592844,0.8777145998813606,0.3400682900010128,0.9845780696781371,0.6424208713510969,0.4386521905034461,138234
6,31,3,0.5345592664068934,0.8270254323749585,0.5458680073260974,0.7364448760340737,0.6961360839535549,0.7026907428121889,0.17999336226076482,0.9613513188633787,0.5801953600677332,0.4045603886439583,81353
7,32,3,0.9730720051909387,0.9848374968987957,0.7807305482929063,1.0,0.836919988933951,1.0,0.46350121185518806,0.972385209865016,0.7024037831792275,0.4361578562461625,104798
8,33,3,0.5851094696595531,0.9566185122302587,0.602359485771069,0.7825972551605397,0.8198479549570453,0.7551146675582174,0.31853494116412107,0.9798141303944135,0.5903427865383319,0.3245368738756736,7106718
9,34,3,0.018423675001738082,0.9830594887719868,0.6132650460012514,1.0,0.7721084797010604,0.9669300827327293,0.360107529373595,0.9735395043423004,0.5165261597119254,0.33595937866410847,43151
10,40,4,0.8805007393809596,0.9784177247463158,0.7926163887614094,0.9654530620570089,0.9015595841109038,0.9626357656417317,0.4464968640048952,0.993443743591337,0.7723901852945136,0.6059328825593199,78444
11,41,4,0.355958571306794,0.9139459551615378,0.7124925411303384,0.8061759440797885,0.9034945456407805,0.8028514193163413,0.4405847753814679,0.9910186883857831,0.8085398060601173,0.58091035613719,46924
12,42,4,0.7067475927526186,0.9828614194687912,0.8020935217981711,0.9066963141101732,0.9153171665478013,0.8878448844806138,0.3604847018716705,0.992555823287213,0.7933314412805117,0.5669749699162262,3369824
13,43,4,0.9990457747467093,0.992141674384665,0.9281056757692272,1.0,0.9261621552112133,0.9837220397968062,0.5458168448822655,0.9926521131958062,0.8579336193859757,0.7487171422896113,106893
14,44,4,0.061402400505369555,0.9828174352495263,0.7467466835123184,1.0,0.8474013875827315,1.0,0.4092861655085281,0.9650136011717932,0.7921950198786357,0.520918557084418,15830
