ESTRATO,DOMINIO,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
1,R,0.0,3.411528786967854,3.066406557670472,3.058415259059324,2.2143218347665847,3.9639270937416535,1.9278716973449144,2.596099633257421,0.0,2.493390506578243,3.6225893984380693,3.0127244927717802,2.940581945687222,2.9425547739492752,2.8785229575634705,2.294252334192071,4.014960760234819,2.402178142815842,3.902890993874192,3.0481863091992123,3.0741139023703212,3.3736705603009893,2.829674522923776,2.5271510422221564,3.1596470909402594,3.9531491885960692,3.208921479767799,3.7899171724222356,2.416860536925998,2.6575920756233473,3.1225389276624886,3.084681941127539
1,U,0.0,5.0463259598271035,5.006639886730158,3.3528285276688363,2.7791005291005293,0.0,2.8545099898095376,6.8962962962962955,4.913071895424837,7.3037902768432295,4.612414643560131,4.227316146019218,4.626262626262626,2.822222222222223,3.98971670742132,2.558556002094594,4.120816271758226,0.0,3.0977994877609283,2.908737623485604,2.782733890376719,3.9303115985050723,4.54171771924395,2.4227588570372687,4.487581699346405,5.013222130770205,3.1715246404212696,4.799162855296853,3.24721723004673,2.6457438851265254,3.3743513561053162,0.0
2,R,4.725385074973055,4.729236789949077,5.170407905155,0.0,3.118111469977981,4.493958048353157,3.1681650722776906,4.235956858258555,6.175713045460826,3.8612507053921394,3.569196668802066,0.0,4.164307447482539,4.515802671822413,4.872147193655375,4.036304025261713,5.053108490558199,3.719327612184844,6.9961819500302465,4.353726198932591,3.9951104085748272,4.843397260749118,3.4032621864449415,4.0644822427339244,3.6574328705963257,4.848760396858453,3.712440884869533,4.71777764618302,4.1311880177566715,3.7494324683828193,3.9892047926526604,3.7981053548620736
2,U,4.771245280700266,6.056944807394276,5.574386604654853,5.4631411019361025,5.079256634754481,5.282508787890491,4.68888131588332,5.4186884849840276,6.693256066173314,4.847667712198786,4.709765013980353,5.366548073547057,4.913298731500594,5.1851817921847045,5.767980238998666,4.672335419726065,5.374207091941895,5.252340877626784,5.8047775565968385,5.030918807383474,4.792182515252246,5.93173392413441,5.505948444654174,5.316378537450044,5.028903635020877,6.145511087941506,5.089826142185261,5.417894949545211,4.588080389432097,4.924295589870798,4.893001226916571,4.9818905955234305
3,U,6.188670786068206,7.154758809570261,6.607230022694552,6.754950735618252,6.20820350610003,6.706178487884782,6.63568738297993,6.3002447805850945,7.515611562454232,6.277487430098145,6.388650762643579,7.453867990110011,6.404329713971666,6.187169138250343,6.849250125138258,6.036802236002581,6.442413437292003,6.992138778019363,6.912411768644082,7.0061973528389965,6.648669635782594,6.966515531766099,6.689284216896056,6.703054724996268,6.250312479164901,7.222357895697321,6.5577385666146135,6.366177641444994,6.480515855117302,6.593834517781354,6.6389813428662166,6.646914721307673
4,U,7.420776122986662,7.868997155422726,7.723561271410403,6.991155183800664,7.854123521100066,7.514475729795804,6.931198579820474,7.666490521257532,8.52937696241196,7.067137641121826,7.771677575069634,8.416666666666666,7.234888022615404,7.992760647368764,7.8473519241638865,7.329074798036329,7.498172300836984,8.08134883150456,8.237719498104479,8.36724376576702,7.724656621714584,7.8451747766816515,7.425358391436646,7.664806398380692,7.1341407605814755,8.67476324523919,8.015262330978514,7.17656851118101,6.653449624472234,7.4688442034764835,7.279079551745649,7.840639638602203
